Node_ID,Nama Fasilitas,Jenis,Type,Lat,Lon,Demand_Ton,Kecamatan_ID,Cost_Gerobak
132,Mayapada Hospital Bandung,TPST/TPS 3R,TPS,-6.94858079999999,107.6347498,5.5,17,471179
133,KUJANGSARI 4,TPST/TPS 3R,TPS,-6.956568,107.6436308,5.5,17,466189
134,CURUG ECE,TPST/TPS 3R,TPS,-6.954184,107.638811,5.5,17,497022
135,ADIYAKSA,TPST/TPS 3R,TPS,-6.9651889,107.6365477,5.5,17,512345
136,POOL KECAMATAN 18,POOL,POOL,-6.8794235999999955,107.602733925,0.0,18,0
137,Yogya Ciumbuleuit,TPST/TPS 3R,TPS,-6.87571399999999,107.6041555,5.34,18,474393
138,Setiabudhi Supermarket,TPST/TPS 3R,TPS,-6.8825034,107.6009556,5.5,18,474562
139,Rumah Sakit Paru DR HA Rotinsulu,TPST/TPS 3R,TPS,-6.8775523,107.6065088,5.5,18,416947
140,Parahyangan Residences,TPST/TPS 3R,TPS,-6.87702739999999,107.6031983,5.5,18,506283
141,CIRATEUN RW 01,TPST/TPS 3R,TPS,-6.8785672,107.5976287,5.5,18,451973
142,Belviu Hotel,TPST/TPS 3R,TPS,-6.88265609999999,107.6002269,5.17,18,408390
143,HOTEL GRAND TJOKRO PREMIERE BANDUNG,TPST/TPS 3R,TPS,-6.88631959999999,107.603844,5.5,18,505420
144,TPS 3 R Universitas Katolik Parahyangan,TPST/TPS 3R,TPS,-6.8750488,107.6053536,5.5,18,523320
145,POOL KECAMATAN 19,POOL,POOL,-6.907399914285712,107.63561988571428,0.0,19,0
146,RS Santo Yusup,TPST/TPS 3R,TPS,-6.906915,107.6435012,5.5,19,485615
147,RSIA Grha Bunda,TPST/TPS 3R,TPS,-6.91313019999999,107.645485,5.5,19,423061
148,RS Kartini,TPST/TPS 3R,TPS,-6.897315,107.6345952,5.5,19,466822
149,Grand Tebu Hotel,TPST/TPS 3R,TPS,-6.9128761,107.6296833,5.45,19,476098
150,MALEER RW 05,TPST/TPS 3R,TPS,-6.9067506,107.6289022,5.5,19,473337
151,IBCC,TPST/TPS 3R,TPS,-6.91466,107.6326675,5.5,19,474763
152,Griya Pahlawan,TPST/TPS 3R,TPS,-6.9001525,107.6345048,4.65,19,447250
153,POOL KECAMATAN 20,POOL,POOL,-6.9307435166666655,107.62442305000002,0.0,20,0
154,Sesko AD,TPST/TPS 3R,TPS,-6.9333592,107.6291104,4.03,20,374635
155,The Papandayan Hotel Bandung,TPST/TPS 3R,TPS,-6.923502,107.623725,5.5,20,416274
156,RS. Muhammadiyah Bandung,TPST/TPS 3R,TPS,-6.9335792,107.6231599,5.5,20,479403
157,RS Mata Bandung Eye Center,TPST/TPS 3R,TPS,-6.9377109,107.623819,5.5,20,452465
158,Malaka Hotel,TPST/TPS 3R,TPS,-6.9270799,107.6232181,3.37,20,265883
159,KUJANGSARI 10,TPST/TPS 3R,TPS,-6.92922989999999,107.6235059,5.5,20,461814
160,POOL KECAMATAN 21,POOL,POOL,-6.9507790400000005,107.58871468,0.0,21,0
161,Transporter PT Inovasi Gerakan Masyarakat,TPST/TPS 3R,TPS,-6.961398,107.6006389,5.5,21,424525
162,RS Umum Santosa Hospital Bandung Kopo,TPST/TPS 3R,TPS,-6.9524003,107.5863315,5.5,21,491381
163,PASADENA,TPST/TPS 3R,TPS,-6.945204,107.5787394,5.5,21,456551
164,RSUD Bandung Kiwari,TPST/TPS 3R,TPS,-6.9435482,107.5917545,5.5,21,484989
